Id,FechaInicio,Modo,DiasCalendario,UEjecutoras,PredId,TipoVinc,LagDias,Clave_ref
917553,,REND,,4,917515,FS,0,DEM
1179653,,REND,,4,917553,FS,-10,010822-acarreo
1802247,2026-05-18,DUR,5,,,,,DES01-previos-elec
852005,,REND,,2,917553,FS,-3,K-1-castillos
852006,,REND,,2,852005,SS,0,TR01-cadenas
1802248,,DUR,6,,852005,SS,0,D-01-dados
1802249,,DUR,8,,852005,SS,0,RES-01-rehab
1802250,,REND,,2,852005,FS,0,MURBLOCK01
917515,,DUR,21,,1507374,FS,0,ACEEST01-acero
1507374,2026-05-18,DUR,14,,,,,BASTMUR30CM
1179655,,DUR,3,,917515,SS,0,MM-02-riel
1179656,,DUR,5,,917515,SS,0,MM-03-suspension
1507370,,REND,,1,1802250,FS,0,TBTPL25-hidr
852014,,DUR,4,,1507370,FS,0,SALHIDWC
852013,,REND,,1,1507370,SS,0,SALHIDFREG
852012,,REND,,1,1507370,SS,0,SALHIDLAV
1507371,,REND,,1,1802250,FS,0,TBPVCSAN150
852026,,REND,,2,1507371,SS,0,SALSANWC
852027,,REND,,2,1507371,SS,0,SALSANLAV
852028,,REND,,2,1507371,SS,0,SALSANCOL
1507339,,DUR,30,,1802250,FS,0,ALIMALUM
1507340,,DUR,5,,1802250,SS,0,ALIMCON
1507342,,DUR,14,,1507339,FS,0,INSLUM-roughin
1507343,,REND,,2,1507340,FS,0,INSCON-roughin
917512,,DUR,5,,852012,FS,0,HERR01-escalera
1507333,,DUR,3,,852012,SS,0,HERR03
917552,,DUR,4,,852012,SS,0,HERR02
1507334,,DUR,3,,852012,SS,0,PLAN01
1507373,,DUR,15,,852012,SS,0,ESTRPERG-pergola
1507365,,DUR,3,,852012,SS,0,ACAMUR10-cenefa
1802252,,DUR,3,,852012,SS,0,HERR05-esparragos
851979,,REND,,5,1507373,FS,0,ACAPIS05-autoniv
917504,,DUR,15,,1507373,SS,0,ACAPIS01sum-SMA-piso
1179648,,REND,,4,851979,FS,0,ACAPIS01col-SMA-piso
1507357,,REND,,2,1179648,FS,0,ACAPIS01-2-zoclo
2064384,,DUR,15,,1507373,SS,0,ACAPIS02-3sum-arab
1179649,,REND,,3,851979,FS,0,ACAPIS02-1col-arab
1507359,,REND,,1,1179649,FS,0,ACAPIS02-2-zoclo
1802251,,REND,,1,1179649,FS,0,CEN-cenefa
851977,,DUR,8,,1179648,FS,0,ACAPIS03-alfombra
1507358,,DUR,4,,851977,FS,0,APAPIS03-1-zoclomad
917505,,REND,,2,851979,FS,0,ACAPIS04-ceramico
1507360,,REND,,1,917505,FS,0,ACAPIS04-1-zoclo
1802241,,DUR,15,,851979,SS,0,ACAPIS01sum-SMA-muro
1802240,,REND,,3,1802241,FS,0,ACAPIS01col-SMA-muro
1507368,,DUR,8,,851979,FS,0,ACAMUR13-aislacust
851982,,REND,,2,1507368,FS,0,ACAMUR01-lambrin
851996,,REND,,4,917515,SS,7,ACAMUR02-lambtabla
917507,,REND,,5,917515,SS,7,ACAMUR02_1-panel
1507361,,DUR,5,,1802250,FS,0,ACAMUR09-recub
1507362,,DUR,3,,1507368,SS,0,ACAMUR14-colpanel
1507363,,DUR,3,,1507362,FS,0,ACAMUR15-colpvc
1507366,,DUR,3,,1507368,SS,0,ACAMUR11-triplay
